Unnamed: 0,cgpa,iq,placement
1150,5.31,136.0,0
1151,4.0,127.0,0
1152,5.73,129.0,0
1153,4.91,88.0,0
1154,8.47,139.0,0
1155,7.71,120.0,1
1156,5.67,108.0,0
1157,9.2,118.0,1
1158,7.68,80.0,0
1159,6.11,123.0,0
1160,4.0,94.0,0
1161,9.25,88.0,0
1162,4.83,85.0,0
1163,4.53,137.0,0
1164,7.73,102.0,1
1165,9.43,146.0,1
1166,8.16,104.0,1
1167,7.18,81.0,0
1168,7.21,93.0,0
1169,7.52,140.0,1
1170,7.41,112.0,0
1171,6.84,104.0,0
1172,6.63,118.0,0
1173,6.42,125.0,0
1174,5.6,137.0,0
1175,6.16,144.0,1
1176,4.47,108.0,0
1177,6.38,88.0,0
1178,5.31,107.0,0
1179,5.18,120.0,0
1180,6.72,96.0,1
1181,8.17,96.0,1
1182,7.6,122.0,1
1183,4.62,114.0,0
1184,5.31,116.0,0
1185,7.63,100.0,0
1186,5.32,110.0,0
1187,6.23,97.0,0
1188,7.16,133.0,1
1189,5.34,136.0,0
1190,6.63,80.0,0
1191,4.9,96.0,0
1192,5.78,85.0,0
1193,6.88,102.0,0
1194,4.59,113.0,0
1195,7.03,86.0,0
1196,6.48,97.0,0
1197,7.16,95.0,0
1198,6.77,119.0,0
1199,8.14,116.0,1
